datetime,ets150d0,erefaod0
2010-02-23 00:00:00+00:00,0.78,2.3
2010-02-24 00:00:00+00:00,0.56,1.5
2010-02-25 00:00:00+00:00,0.6,2.3
2010-02-26 00:00:00+00:00,0.26,1.3
2010-02-27 00:00:00+00:00,1.06,3.0
2010-02-28 00:00:00+00:00,0.34,2.2
2010-03-01 00:00:00+00:00,1.07,1.6
2010-03-02 00:00:00+00:00,0.57,1.5
2010-03-03 00:00:00+00:00,0.55,1.9
2010-03-04 00:00:00+00:00,0.19,1.2
2010-03-05 00:00:00+00:00,0.95,1.4
2010-03-06 00:00:00+00:00,0.27,0.7
2010-03-07 00:00:00+00:00,0.87,0.9
2010-03-08 00:00:00+00:00,1.25,1.1
2010-03-09 00:00:00+00:00,0.81,0.9
2010-03-10 00:00:00+00:00,0.96,1.1
2010-03-11 00:00:00+00:00,0.16,0.9
2010-03-12 00:00:00+00:00,1.01,1.2
2010-03-13 00:00:00+00:00,1.78,1.8
2010-03-14 00:00:00+00:00,1.74,1.8
2010-03-15 00:00:00+00:00,0.28,1.1
2010-03-16 00:00:00+00:00,0.2,0.9
2010-03-17 00:00:00+00:00,2.13,2.2
2010-03-18 00:00:00+00:00,1.97,3.0
2010-03-19 00:00:00+00:00,3.24,4.2
2010-03-20 00:00:00+00:00,1.54,4.4
2010-03-21 00:00:00+00:00,0.55,2.5
2010-03-22 00:00:00+00:00,1.16,2.2
2010-03-23 00:00:00+00:00,1.66,2.5
2010-03-24 00:00:00+00:00,2.61,4.0
2010-03-25 00:00:00+00:00,1.48,4.2
2010-03-26 00:00:00+00:00,0.99,3.2
2010-03-27 00:00:00+00:00,1.33,2.4
2010-03-28 00:00:00+00:00,0.33,1.3
2010-03-29 00:00:00+00:00,1.28,3.0
2010-03-30 00:00:00+00:00,2.09,3.6
2010-03-31 00:00:00+00:00,1.8,2.4
2010-04-01 00:00:00+00:00,0.28,0.9
2010-04-02 00:00:00+00:00,3.04,2.7
2010-04-03 00:00:00+00:00,1.87,3.2
2010-04-04 00:00:00+00:00,0.29,1.2
2010-04-05 00:00:00+00:00,0.77,1.8
2010-04-06 00:00:00+00:00,3.66,3.5
2010-04-07 00:00:00+00:00,4.1,3.9
2010-04-08 00:00:00+00:00,3.28,3.3
2010-04-09 00:00:00+00:00,2.48,2.9
2010-04-10 00:00:00+00:00,2.31,3.3
2010-04-11 00:00:00+00:00,3.05,3.0
2010-04-12 00:00:00+00:00,2.41,2.6
2010-04-13 00:00:00+00:00,3.1,2.9
2010-04-14 00:00:00+00:00,0.92,1.8
2010-04-15 00:00:00+00:00,1.85,2.5
2010-04-16 00:00:00+00:00,3.02,3.0
2010-04-17 00:00:00+00:00,3.38,3.4
2010-04-18 00:00:00+00:00,0.28,1.1
2010-04-19 00:00:00+00:00,1.94,2.8
2010-04-20 00:00:00+00:00,1.88,3.1
2010-04-21 00:00:00+00:00,2.26,3.2
2010-04-22 00:00:00+00:00,3.53,3.4
2010-04-23 00:00:00+00:00,2.39,2.9
2010-04-24 00:00:00+00:00,3.59,3.7
2010-04-25 00:00:00+00:00,2.45,3.7
2010-04-26 00:00:00+00:00,0.67,1.9
2010-04-27 00:00:00+00:00,0.77,2.1
2010-04-28 00:00:00+00:00,4.4,4.2
2010-04-29 00:00:00+00:00,5.62,5.4
2010-04-30 00:00:00+00:00,3.37,4.4
2010-05-01 00:00:00+00:00,0.67,2.2
2010-05-02 00:00:00+00:00,0.24,1.2
2010-05-03 00:00:00+00:00,1.12,2.4
2010-05-04 00:00:00+00:00,0.39,1.8
2010-05-05 00:00:00+00:00,0.51,2.0
2010-05-06 00:00:00+00:00,0.94,2.8
2010-05-07 00:00:00+00:00,0.66,2.2
2010-05-08 00:00:00+00:00,2.44,3.5
2010-05-09 00:00:00+00:00,1.76,3.0
2010-05-10 00:00:00+00:00,1.13,3.0
2010-05-11 00:00:00+00:00,1.3,3.1
2010-05-12 00:00:00+00:00,0.62,2.1
2010-05-13 00:00:00+00:00,0.41,2.0
2010-05-14 00:00:00+00:00,1.17,2.8
2010-05-15 00:00:00+00:00,0.54,2.3
2010-05-16 00:00:00+00:00,0.51,1.8
2010-05-17 00:00:00+00:00,1.23,2.7
2010-05-18 00:00:00+00:00,1.04,2.4
2010-05-19 00:00:00+00:00,1.79,3.0
2010-05-20 00:00:00+00:00,0.35,1.4
2010-05-21 00:00:00+00:00,1.91,3.7
2010-05-22 00:00:00+00:00,4.66,4.7
2010-05-23 00:00:00+00:00,5.13,5.0
2010-05-24 00:00:00+00:00,6.04,5.2
2010-05-25 00:00:00+00:00,5.45,5.3
2010-05-26 00:00:00+00:00,1.72,3.5
2010-05-27 00:00:00+00:00,0.69,2.5
2010-05-28 00:00:00+00:00,1.08,2.8
2010-05-29 00:00:00+00:00,1.26,3.3
2010-05-30 00:00:00+00:00,0.43,2.1
2010-05-31 00:00:00+00:00,0.85,2.3
2010-06-01 00:00:00+00:00,0.46,2.0
2010-06-02 00:00:00+00:00,0.37,1.8
2010-06-03 00:00:00+00:00,0.39,2.2
2010-06-04 00:00:00+00:00,4.17,4.8
2010-06-05 00:00:00+00:00,4.9,5.3
2010-06-06 00:00:00+00:00,4.53,5.8
2010-06-07 00:00:00+00:00,2.29,4.4
2010-06-08 00:00:00+00:00,2.47,4.4
2010-06-09 00:00:00+00:00,4.29,6.6
2010-06-10 00:00:00+00:00,2.87,6.4
2010-06-11 00:00:00+00:00,6.65,7.1
2010-06-12 00:00:00+00:00,1.26,3.3
2010-06-13 00:00:00+00:00,0.8,3.2
2010-06-14 00:00:00+00:00,1.08,3.3
2010-06-15 00:00:00+00:00,0.73,2.7
2010-06-16 00:00:00+00:00,0.44,2.5
2010-06-17 00:00:00+00:00,0.63,2.5
2010-06-18 00:00:00+00:00,0.28,1.7
2010-06-19 00:00:00+00:00,0.46,1.8
2010-06-20 00:00:00+00:00,0.62,2.4
2010-06-21 00:00:00+00:00,0.62,2.2
2010-06-22 00:00:00+00:00,0.56,2.1
2010-06-23 00:00:00+00:00,5.34,5.0
2010-06-24 00:00:00+00:00,5.62,5.3
2010-06-25 00:00:00+00:00,6.18,5.7
2010-06-26 00:00:00+00:00,6.48,6.0
2010-06-27 00:00:00+00:00,6.93,6.4
2010-06-28 00:00:00+00:00,7.02,6.2
2010-06-29 00:00:00+00:00,6.71,6.1
2010-06-30 00:00:00+00:00,5.45,5.8
2010-07-01 00:00:00+00:00,4.55,5.5
2010-07-02 00:00:00+00:00,6.43,6.3
2010-07-03 00:00:00+00:00,6.81,6.6
2010-07-04 00:00:00+00:00,2.95,5.1
2010-07-05 00:00:00+00:00,2.51,4.7
2010-07-06 00:00:00+00:00,1.61,3.6
2010-07-07 00:00:00+00:00,5.98,5.6
2010-07-08 00:00:00+00:00,7.01,6.7
2010-07-09 00:00:00+00:00,7.08,6.5
2010-07-10 00:00:00+00:00,5.44,6.0
2010-07-11 00:00:00+00:00,4.79,6.5
2010-07-12 00:00:00+00:00,5.15,6.7
2010-07-13 00:00:00+00:00,4.52,5.4
2010-07-14 00:00:00+00:00,6.08,6.7
2010-07-15 00:00:00+00:00,4.36,5.5
2010-07-16 00:00:00+00:00,6.11,6.1
2010-07-17 00:00:00+00:00,1.16,3.2
2010-07-18 00:00:00+00:00,3.88,5.2
2010-07-19 00:00:00+00:00,5.26,5.5
2010-07-20 00:00:00+00:00,5.19,5.7
2010-07-21 00:00:00+00:00,4.84,5.4
2010-07-22 00:00:00+00:00,3.42,5.0
2010-07-23 00:00:00+00:00,0.27,1.1
2010-07-24 00:00:00+00:00,0.32,1.4
2010-07-25 00:00:00+00:00,2.82,4.3
2010-07-26 00:00:00+00:00,0.71,2.2
2010-07-27 00:00:00+00:00,0.49,2.1
2010-07-28 00:00:00+00:00,1.42,2.8
2010-07-29 00:00:00+00:00,0.43,1.9
2010-07-30 00:00:00+00:00,2.13,3.7
2010-07-31 00:00:00+00:00,5.12,4.9
2010-08-01 00:00:00+00:00,5.2,5.5
2010-08-02 00:00:00+00:00,0.66,2.6
2010-08-03 00:00:00+00:00,0.61,2.5
2010-08-04 00:00:00+00:00,3.35,4.1
2010-08-05 00:00:00+00:00,0.23,1.0
2010-08-06 00:00:00+00:00,0.34,1.7
2010-08-07 00:00:00+00:00,4.0,4.4
2010-08-08 00:00:00+00:00,1.18,3.0
2010-08-09 00:00:00+00:00,4.02,4.6
2010-08-10 00:00:00+00:00,3.69,4.6
2010-08-11 00:00:00+00:00,0.97,2.8
2010-08-12 00:00:00+00:00,0.39,1.9
2010-08-13 00:00:00+00:00,0.56,2.4
2010-08-14 00:00:00+00:00,1.15,2.3
2010-08-15 00:00:00+00:00,0.45,1.9
2010-08-16 00:00:00+00:00,0.3,1.4
2010-08-17 00:00:00+00:00,0.84,2.5
2010-08-18 00:00:00+00:00,0.5,2.3
2010-08-19 00:00:00+00:00,2.24,3.8
2010-08-20 00:00:00+00:00,2.29,3.7
2010-08-21 00:00:00+00:00,3.19,4.3
2010-08-22 00:00:00+00:00,3.43,4.6
2010-08-23 00:00:00+00:00,1.64,3.3
2010-08-24 00:00:00+00:00,2.0,3.6
2010-08-25 00:00:00+00:00,3.11,4.1
2010-08-26 00:00:00+00:00,3.64,4.8
2010-08-27 00:00:00+00:00,0.92,2.5
2010-08-28 00:00:00+00:00,0.67,2.3
2010-08-29 00:00:00+00:00,3.11,4.0
2010-08-30 00:00:00+00:00,0.78,2.0
2010-08-31 00:00:00+00:00,0.92,2.3
2010-09-01 00:00:00+00:00,3.23,3.5
2010-09-02 00:00:00+00:00,3.26,3.1
2010-09-03 00:00:00+00:00,2.78,3.5
2010-09-04 00:00:00+00:00,0.74,2.4
2010-09-05 00:00:00+00:00,1.99,3.0
2010-09-06 00:00:00+00:00,1.64,2.9
2010-09-07 00:00:00+00:00,0.45,2.1
2010-09-08 00:00:00+00:00,0.4,1.9
2010-09-09 00:00:00+00:00,1.47,2.9
2010-09-10 00:00:00+00:00,1.11,2.5
2010-09-11 00:00:00+00:00,2.71,3.3
2010-09-12 00:00:00+00:00,2.3,3.3
2010-09-13 00:00:00+00:00,0.55,1.8
2010-09-14 00:00:00+00:00,1.4,2.2
2010-09-15 00:00:00+00:00,0.99,2.0
2010-09-16 00:00:00+00:00,1.37,2.7
2010-09-17 00:00:00+00:00,0.29,1.3
2010-09-18 00:00:00+00:00,0.35,1.6
2010-09-19 00:00:00+00:00,1.92,2.5
2010-09-20 00:00:00+00:00,2.37,2.9
2010-09-21 00:00:00+00:00,2.28,2.8
2010-09-22 00:00:00+00:00,2.03,2.7
2010-09-23 00:00:00+00:00,2.7,2.8
2010-09-24 00:00:00+00:00,1.25,3.0
2010-09-25 00:00:00+00:00,0.14,0.7
2010-09-26 00:00:00+00:00,0.8,2.0
2010-09-27 00:00:00+00:00,0.24,1.1
2010-09-28 00:00:00+00:00,0.46,1.5
2010-09-29 00:00:00+00:00,1.09,1.9
2010-09-30 00:00:00+00:00,0.28,1.2
2010-10-01 00:00:00+00:00,0.6,1.5
2010-10-02 00:00:00+00:00,1.41,2.4
2010-10-03 00:00:00+00:00,2.65,4.1
2010-10-04 00:00:00+00:00,1.38,4.0
2010-10-05 00:00:00+00:00,0.17,1.1
2010-10-06 00:00:00+00:00,1.44,2.3
2010-10-07 00:00:00+00:00,1.22,1.9
2010-10-08 00:00:00+00:00,1.44,2.3
2010-10-09 00:00:00+00:00,1.26,1.8
2010-10-10 00:00:00+00:00,1.14,1.9
2010-10-11 00:00:00+00:00,1.89,2.8
2010-10-12 00:00:00+00:00,1.34,1.5
2010-10-13 00:00:00+00:00,0.85,1.2
2010-10-14 00:00:00+00:00,0.2,0.8
2010-10-15 00:00:00+00:00,0.23,0.9
2010-10-16 00:00:00+00:00,0.16,0.8
2010-10-17 00:00:00+00:00,0.22,1.0
2010-10-18 00:00:00+00:00,0.23,1.0
2010-10-19 00:00:00+00:00,1.26,1.1
2010-10-20 00:00:00+00:00,0.14,0.6
2010-10-21 00:00:00+00:00,1.17,1.2
2010-10-22 00:00:00+00:00,0.79,1.3
2010-10-23 00:00:00+00:00,0.5,1.9
2010-10-24 00:00:00+00:00,0.2,1.1
2010-10-25 00:00:00+00:00,0.22,1.2
2010-10-26 00:00:00+00:00,0.79,1.0
2010-10-27 00:00:00+00:00,1.18,1.1
2010-10-28 00:00:00+00:00,0.47,1.1
2010-10-29 00:00:00+00:00,1.87,2.9
2010-10-30 00:00:00+00:00,1.72,4.0
2010-10-31 00:00:00+00:00,1.28,2.8
2010-11-01 00:00:00+00:00,0.68,1.7
2010-11-02 00:00:00+00:00,0.12,0.6
2010-11-03 00:00:00+00:00,0.41,0.8
2010-11-04 00:00:00+00:00,1.04,0.9
2010-11-05 00:00:00+00:00,0.86,0.8
2010-11-06 00:00:00+00:00,0.66,0.7
2010-11-07 00:00:00+00:00,0.19,1.0
2010-11-08 00:00:00+00:00,0.11,0.5
2010-11-09 00:00:00+00:00,0.67,1.3
2010-11-10 00:00:00+00:00,0.62,1.5
2010-11-11 00:00:00+00:00,0.79,1.1
2010-11-12 00:00:00+00:00,0.11,0.7
2010-11-13 00:00:00+00:00,0.73,1.1
2010-11-14 00:00:00+00:00,1.05,3.0
2010-11-15 00:00:00+00:00,0.67,1.9
2010-11-16 00:00:00+00:00,0.08,0.8
2010-11-17 00:00:00+00:00,0.48,0.3
2010-11-18 00:00:00+00:00,0.09,0.4
2010-11-19 00:00:00+00:00,0.18,0.4
2010-11-20 00:00:00+00:00,0.49,1.0
2010-11-21 00:00:00+00:00,0.3,0.9
2010-11-22 00:00:00+00:00,0.06,0.4
2010-11-23 00:00:00+00:00,0.12,0.6
2010-11-24 00:00:00+00:00,0.17,0.4
2010-11-25 00:00:00+00:00,0.4,0.8
2010-11-26 00:00:00+00:00,0.16,0.8
2010-11-27 00:00:00+00:00,0.68,1.1
2010-11-28 00:00:00+00:00,0.18,0.8
2010-11-29 00:00:00+00:00,0.28,0.5
2010-11-30 00:00:00+00:00,0.5,1.1
2010-12-01 00:00:00+00:00,0.12,0.8
2010-12-02 00:00:00+00:00,0.07,0.3
2010-12-03 00:00:00+00:00,0.44,0.4
2010-12-04 00:00:00+00:00,0.65,0.5
2010-12-05 00:00:00+00:00,0.24,1.5
2010-12-06 00:00:00+00:00,0.24,2.1
2010-12-07 00:00:00+00:00,0.5,1.4
2010-12-08 00:00:00+00:00,0.35,1.6
2010-12-09 00:00:00+00:00,0.22,1.9
2010-12-10 00:00:00+00:00,0.08,0.4
2010-12-11 00:00:00+00:00,0.09,0.1
2010-12-12 00:00:00+00:00,0.09,0.5
2010-12-13 00:00:00+00:00,0.32,0.4
2010-12-14 00:00:00+00:00,0.12,0.3
2010-12-15 00:00:00+00:00,0.09,0.4
2010-12-16 00:00:00+00:00,0.41,0.2
2010-12-17 00:00:00+00:00,0.15,0.7
2010-12-18 00:00:00+00:00,0.47,0.4
2010-12-19 00:00:00+00:00,0.44,0.8
2010-12-20 00:00:00+00:00,0.54,0.8
2010-12-21 00:00:00+00:00,0.23,1.1
2010-12-22 00:00:00+00:00,0.26,2.2
2010-12-23 00:00:00+00:00,0.14,1.1
2010-12-24 00:00:00+00:00,0.07,0.7
2010-12-25 00:00:00+00:00,0.09,0.8
2010-12-26 00:00:00+00:00,0.15,0.3
2010-12-27 00:00:00+00:00,0.34,0.6
2010-12-28 00:00:00+00:00,0.09,0.5
2010-12-29 00:00:00+00:00,0.27,0.2
2010-12-30 00:00:00+00:00,0.23,0.2
2010-12-31 00:00:00+00:00,0.15,0.1
2011-01-01 00:00:00+00:00,0.21,0.1
2011-01-02 00:00:00+00:00,0.06,0.4
2011-01-03 00:00:00+00:00,0.42,0.4
2011-01-04 00:00:00+00:00,0.31,0.5
2011-01-05 00:00:00+00:00,0.51,0.8
2011-01-06 00:00:00+00:00,0.31,2.0
2011-01-07 00:00:00+00:00,0.17,2.4
2011-01-08 00:00:00+00:00,0.32,2.1
2011-01-09 00:00:00+00:00,0.2,1.9
2011-01-10 00:00:00+00:00,0.03,0.4
2011-01-11 00:00:00+00:00,0.13,0.6
2011-01-12 00:00:00+00:00,0.06,0.4
2011-01-13 00:00:00+00:00,0.05,0.4
2011-01-14 00:00:00+00:00,0.14,0.5
2011-01-15 00:00:00+00:00,0.18,0.5
2011-01-16 00:00:00+00:00,0.26,0.7
2011-01-17 00:00:00+00:00,0.23,0.8
2011-01-18 00:00:00+00:00,0.19,0.5
2011-01-19 00:00:00+00:00,0.05,0.7
2011-01-20 00:00:00+00:00,0.06,0.6
2011-01-21 00:00:00+00:00,0.07,0.9
2011-01-22 00:00:00+00:00,0.13,0.5
2011-01-23 00:00:00+00:00,0.26,0.4
2011-01-24 00:00:00+00:00,0.07,0.4
2011-01-25 00:00:00+00:00,0.15,0.4
2011-01-26 00:00:00+00:00,0.03,0.3
2011-01-27 00:00:00+00:00,0.22,0.4
2011-01-28 00:00:00+00:00,0.22,0.5
2011-01-29 00:00:00+00:00,0.19,0.7
2011-01-30 00:00:00+00:00,0.19,0.5
2011-01-31 00:00:00+00:00,0.04,0.4
2011-02-01 00:00:00+00:00,0.18,0.4
2011-02-02 00:00:00+00:00,0.22,0.5
2011-02-03 00:00:00+00:00,0.21,0.6
2011-02-04 00:00:00+00:00,0.45,1.0
2011-02-05 00:00:00+00:00,0.32,0.8
2011-02-06 00:00:00+00:00,0.6,1.7
2011-02-07 00:00:00+00:00,0.57,1.3
2011-02-08 00:00:00+00:00,0.52,1.2
2011-02-09 00:00:00+00:00,0.54,1.3
2011-02-10 00:00:00+00:00,0.65,1.3
2011-02-11 00:00:00+00:00,0.35,1.6
2011-02-12 00:00:00+00:00,0.54,1.1
2011-02-13 00:00:00+00:00,0.34,1.0
2011-02-14 00:00:00+00:00,0.37,1.6
2011-02-15 00:00:00+00:00,0.35,1.9
2011-02-16 00:00:00+00:00,0.18,1.1
2011-02-17 00:00:00+00:00,0.21,0.9
2011-02-18 00:00:00+00:00,0.23,0.9
2011-02-19 00:00:00+00:00,0.62,1.3
2011-02-20 00:00:00+00:00,0.1,0.8
2011-02-21 00:00:00+00:00,0.05,0.6
2011-02-22 00:00:00+00:00,0.06,0.5
2011-02-23 00:00:00+00:00,0.56,1.0
2011-02-24 00:00:00+00:00,0.32,1.1
2011-02-25 00:00:00+00:00,0.06,0.5
2011-02-26 00:00:00+00:00,0.48,1.3
2011-02-27 00:00:00+00:00,0.1,0.9
2011-02-28 00:00:00+00:00,0.5,1.3
2011-03-01 00:00:00+00:00,0.62,1.3
2011-03-02 00:00:00+00:00,0.88,1.4
2011-03-03 00:00:00+00:00,0.61,1.1
2011-03-04 00:00:00+00:00,0.61,1.5
2011-03-05 00:00:00+00:00,0.26,0.8
2011-03-06 00:00:00+00:00,0.9,1.4
2011-03-07 00:00:00+00:00,1.49,1.9
2011-03-08 00:00:00+00:00,1.9,2.4
2011-03-09 00:00:00+00:00,1.71,1.9
2011-03-10 00:00:00+00:00,1.75,2.1
2011-03-11 00:00:00+00:00,1.52,2.0
2011-03-12 00:00:00+00:00,1.41,3.9
2011-03-13 00:00:00+00:00,0.78,3.7
2011-03-14 00:00:00+00:00,2.26,3.4
2011-03-15 00:00:00+00:00,1.41,3.5
2011-03-16 00:00:00+00:00,0.41,2.0
2011-03-17 00:00:00+00:00,0.14,0.8
2011-03-18 00:00:00+00:00,0.78,2.1
2011-03-19 00:00:00+00:00,0.2,1.2
2011-03-20 00:00:00+00:00,2.05,2.1
2011-03-21 00:00:00+00:00,2.21,2.2
2011-03-22 00:00:00+00:00,2.66,2.7
2011-03-23 00:00:00+00:00,2.51,2.7
2011-03-24 00:00:00+00:00,2.63,3.0
2011-03-25 00:00:00+00:00,2.99,2.9
2011-03-26 00:00:00+00:00,1.32,2.4
2011-03-27 00:00:00+00:00,0.96,2.4
2011-03-28 00:00:00+00:00,0.32,1.4
2011-03-29 00:00:00+00:00,2.62,3.1
2011-03-30 00:00:00+00:00,1.42,2.2
2011-03-31 00:00:00+00:00,1.56,2.5
2011-04-01 00:00:00+00:00,2.35,3.2
2011-04-02 00:00:00+00:00,3.31,4.2
2011-04-03 00:00:00+00:00,3.09,3.7
2011-04-04 00:00:00+00:00,0.62,1.9
2011-04-05 00:00:00+00:00,2.91,3.0
2011-04-06 00:00:00+00:00,1.84,3.0
2011-04-07 00:00:00+00:00,3.76,4.7
2011-04-08 00:00:00+00:00,3.09,3.9
2011-04-09 00:00:00+00:00,3.27,3.7
2011-04-10 00:00:00+00:00,3.6,3.9
2011-04-11 00:00:00+00:00,3.78,4.0
2011-04-12 00:00:00+00:00,0.4,1.5
2011-04-13 00:00:00+00:00,1.47,2.2
2011-04-14 00:00:00+00:00,2.7,2.8
2011-04-15 00:00:00+00:00,3.42,3.1
2011-04-16 00:00:00+00:00,3.66,3.3
2011-04-17 00:00:00+00:00,3.82,3.5
2011-04-18 00:00:00+00:00,4.21,4.1
2011-04-19 00:00:00+00:00,4.14,4.2
2011-04-20 00:00:00+00:00,5.21,5.0
2011-04-21 00:00:00+00:00,5.4,5.0
2011-04-22 00:00:00+00:00,5.66,5.5
2011-04-23 00:00:00+00:00,2.69,3.9
2011-04-24 00:00:00+00:00,2.31,3.4
2011-04-25 00:00:00+00:00,3.86,4.3
2011-04-26 00:00:00+00:00,3.5,3.8
2011-04-27 00:00:00+00:00,1.86,2.8
2011-04-28 00:00:00+00:00,2.26,3.2
2011-04-29 00:00:00+00:00,1.58,2.4
2011-04-30 00:00:00+00:00,2.87,4.0
2011-05-01 00:00:00+00:00,2.81,3.7
2011-05-02 00:00:00+00:00,2.47,3.6
2011-05-03 00:00:00+00:00,0.99,2.3
2011-05-04 00:00:00+00:00,2.35,3.2
2011-05-05 00:00:00+00:00,5.64,4.5
2011-05-06 00:00:00+00:00,6.56,5.5
2011-05-07 00:00:00+00:00,6.49,5.3
2011-05-08 00:00:00+00:00,5.56,5.3
2011-05-09 00:00:00+00:00,6.09,5.7
2011-05-10 00:00:00+00:00,5.47,5.2
2011-05-11 00:00:00+00:00,3.87,4.8
2011-05-12 00:00:00+00:00,0.96,3.1
2011-05-13 00:00:00+00:00,3.56,4.8
2011-05-14 00:00:00+00:00,1.85,3.9
2011-05-15 00:00:00+00:00,0.71,2.2
2011-05-16 00:00:00+00:00,0.57,2.1
2011-05-17 00:00:00+00:00,0.65,2.7
2011-05-18 00:00:00+00:00,4.53,4.8
2011-05-19 00:00:00+00:00,5.45,5.4
2011-05-20 00:00:00+00:00,5.45,5.7
2011-05-21 00:00:00+00:00,4.17,5.3
2011-05-22 00:00:00+00:00,1.71,3.6
2011-05-23 00:00:00+00:00,3.03,5.0
2011-05-24 00:00:00+00:00,5.58,6.0
2011-05-25 00:00:00+00:00,5.62,5.6
2011-05-26 00:00:00+00:00,2.36,5.1
2011-05-27 00:00:00+00:00,0.29,1.2
2011-05-28 00:00:00+00:00,2.64,3.9
2011-05-29 00:00:00+00:00,5.44,5.3
2011-05-30 00:00:00+00:00,7.39,7.2
2011-05-31 00:00:00+00:00,2.81,4.4
2011-06-01 00:00:00+00:00,0.49,2.3
2011-06-02 00:00:00+00:00,2.99,4.3
2011-06-03 00:00:00+00:00,2.6,3.8
2011-06-04 00:00:00+00:00,2.53,4.5
2011-06-05 00:00:00+00:00,5.16,5.7
2011-06-06 00:00:00+00:00,2.96,4.5
2011-06-07 00:00:00+00:00,2.15,3.6
2011-06-08 00:00:00+00:00,0.66,2.8
2011-06-09 00:00:00+00:00,0.51,2.4
2011-06-10 00:00:00+00:00,2.22,3.9
2011-06-11 00:00:00+00:00,0.52,2.2
2011-06-12 00:00:00+00:00,4.67,5.1
2011-06-13 00:00:00+00:00,0.46,2.6
2011-06-14 00:00:00+00:00,2.57,4.3
2011-06-15 00:00:00+00:00,3.65,5.1
2011-06-16 00:00:00+00:00,1.67,4.2
2011-06-17 00:00:00+00:00,2.15,4.6
2011-06-18 00:00:00+00:00,0.28,1.4
2011-06-19 00:00:00+00:00,1.96,3.6
2011-06-20 00:00:00+00:00,1.74,3.6
2011-06-21 00:00:00+00:00,3.72,5.1
2011-06-22 00:00:00+00:00,2.28,4.7
2011-06-23 00:00:00+00:00,0.51,2.1
2011-06-24 00:00:00+00:00,3.35,4.9
2011-06-25 00:00:00+00:00,1.08,2.8
2011-06-26 00:00:00+00:00,5.49,5.7
2011-06-27 00:00:00+00:00,6.66,6.6
2011-06-28 00:00:00+00:00,6.18,6.5
2011-06-29 00:00:00+00:00,1.97,4.0
2011-06-30 00:00:00+00:00,2.39,3.9
2011-07-01 00:00:00+00:00,1.12,2.8
2011-07-02 00:00:00+00:00,4.55,4.6
2011-07-03 00:00:00+00:00,4.75,4.7
2011-07-04 00:00:00+00:00,6.84,6.1
2011-07-05 00:00:00+00:00,5.06,5.3
2011-07-06 00:00:00+00:00,4.75,5.4
2011-07-07 00:00:00+00:00,1.33,3.4
2011-07-08 00:00:00+00:00,1.94,3.8
2011-07-09 00:00:00+00:00,3.36,4.9
2011-07-10 00:00:00+00:00,2.1,4.4
2011-07-11 00:00:00+00:00,4.32,5.4
2011-07-12 00:00:00+00:00,5.29,6.9
